31550,1,565,564,42,65,-1,-1,-1,-1
31560,0,465,564,47,78,-1,-1,-1,-1
31561,0,464,564,47,78,-1,-1,-1,-1
31561,1,566,563,42,65,-1,-1,-1,-1
31562,1,565,564,42,65,-1,-1,-1,-1
31562,1,565,564,42,65,-1,-1,-1,-1
31563,0,464,562,47,78,-1,-1,-1,-1
31563,1,565,564,42,65,-1,-1,-1,-1
31564,0,462,561,47,78,-1,-1,-1,-1
31564,1,564,562,42,65,-1,-1,-1,-1
31565,0,464,561,47,78,-1,-1,-1,-1
31565,1,565,561,42,65,-1,-1,-1,-1
31566,0,465,560,47,78,-1,-1,-1,-1
31566,1,564,560,42,65,-1,-1,-1,-1
31567,0,462,559,50,78,-1,-1,-1,-1
31567,1,563,558,43,68,-1,-1,-1,-1
